round,alive_sensors,alive_gateways,avg_energy_sensors,avg_energy_gateways,firstCHFailureRound
559,600,60,1.8258,8.4342,-1
560,600,60,1.82549,8.4314,-1
561,600,60,1.82518,8.4286,-1
562,600,60,1.82487,8.42581,-1
563,600,60,1.82456,8.42301,-1
564,600,60,1.82425,8.42022,-1
565,600,60,1.82394,8.41742,-1
566,600,60,1.82363,8.41462,-1
567,600,60,1.82331,8.41183,-1
568,600,60,1.823,8.40903,-1
569,600,60,1.82269,8.40624,-1
570,600,60,1.82238,8.40344,-1
571,600,60,1.82207,8.40064,-1
572,600,60,1.82176,8.39785,-1
573,600,60,1.82145,8.39505,-1
574,600,60,1.82114,8.39225,-1
575,600,60,1.82083,8.38946,-1
576,600,60,1.82051,8.38666,-1
577,600,60,1.8202,8.38387,-1
578,600,60,1.81989,8.38107,-1
579,600,60,1.81958,8.37827,-1
580,600,60,1.81927,8.37548,-1
581,600,60,1.81896,8.37268,-1
582,600,60,1.81865,8.36989,-1
583,600,60,1.81834,8.36709,-1
584,600,60,1.81803,8.36429,-1
585,600,60,1.81772,8.3615,-1
586,600,60,1.8174,8.3587,-1
587,600,60,1.81709,8.35591,-1
588,600,60,1.81678,8.35311,-1
589,600,60,1.81647,8.35031,-1
590,600,60,1.81616,8.34752,-1
591,600,60,1.81585,8.34472,-1
592,600,60,1.81554,8.34193,-1
593,600,60,1.81523,8.33913,-1
594,600,60,1.81492,8.33633,-1
595,600,60,1.8146,8.33354,-1
596,600,60,1.81429,8.33074,-1
597,600,60,1.81398,8.32794,-1
598,600,60,1.81367,8.32515,-1
599,600,60,1.81336,8.32235,-1
600,600,60,1.81305,8.31956,-1
601,600,60,1.81274,8.31676,-1
602,600,60,1.81243,8.31396,-1
603,600,60,1.81212,8.31117,-1
604,600,60,1.8118,8.30837,-1
605,600,60,1.81149,8.30558,-1
606,600,60,1.81118,8.30278,-1
607,600,60,1.81087,8.29998,-1
608,600,60,1.81056,8.29719,-1
609,600,60,1.81025,8.29439,-1
610,600,60,1.80994,8.2916,-1
611,600,60,1.80963,8.2888,-1
612,600,60,1.80932,8.286,-1
613,600,60,1.80901,8.28321,-1
614,600,60,1.80869,8.28041,-1
615,600,60,1.80838,8.27762,-1
616,600,60,1.80807,8.27482,-1
617,600,60,1.80776,8.27202,-1
618,600,60,1.80745,8.26923,-1
619,600,60,1.80714,8.26643,-1
620,600,60,1.80683,8.26364,-1
621,600,60,1.80652,8.26084,-1
622,600,60,1.80621,8.25804,-1
623,600,60,1.80589,8.25525,-1
624,600,60,1.80558,8.25245,-1
625,600,60,1.80527,8.24965,-1
626,600,60,1.80496,8.24686,-1
627,600,60,1.80465,8.24406,-1
628,600,60,1.80434,8.24127,-1
629,600,60,1.80403,8.23847,-1
630,600,60,1.80372,8.23567,-1
631,600,60,1.80341,8.23288,-1
632,600,60,1.80309,8.23008,-1
633,600,60,1.80278,8.22729,-1
634,600,60,1.80247,8.22449,-1
635,600,60,1.80216,8.22169,-1
636,600,60,1.80185,8.2189,-1
637,600,60,1.80154,8.2161,-1
638,600,60,1.80123,8.21331,-1
639,600,60,1.80092,8.21051,-1
640,600,60,1.80061,8.20771,-1
641,600,60,1.8003,8.20492,-1
642,600,60,1.79998,8.20212,-1
643,600,60,1.79967,8.19933,-1
644,600,60,1.79936,8.19653,-1
645,600,60,1.79905,8.19373,-1
646,600,60,1.79874,8.19094,-1
647,600,60,1.79843,8.18814,-1
648,600,60,1.79812,8.18534,-1
649,600,60,1.79781,8.18255,-1
650,600,60,1.7975,8.17975,-1
651,600,60,1.79718,8.17696,-1
652,600,60,1.79687,8.17416,-1
653,600,60,1.79656,8.17136,-1
654,600,60,1.79625,8.16857,-1
655,600,60,1.79594,8.16577,-1
656,600,60,1.79563,8.16298,-1
657,600,60,1.79532,8.16018,-1
658,600,60,1.79501,8.15738,-1
659,600,60,1.7947,8.15459,-1
660,600,60,1.79439,8.15179,-1
661,600,60,1.79407,8.149,-1
662,600,60,1.79376,8.1462,-1
663,600,60,1.79345,8.1434,-1
664,600,60,1.79314,8.14061,-1
665,600,60,1.79283,8.13781,-1
666,600,60,1.79252,8.13502,-1
667,600,60,1.79221,8.13222,-1
668,600,60,1.7919,8.12942,-1
669,600,60,1.79159,8.12663,-1
670,600,60,1.79127,8.12383,-1
671,600,60,1.79096,8.12104,-1
672,600,60,1.79065,8.11824,-1
673,600,60,1.79034,8.11544,-1
674,600,60,1.79003,8.11265,-1
675,600,60,1.78972,8.10985,-1
676,600,60,1.78941,8.10705,-1
677,600,60,1.7891,8.10426,-1
678,600,60,1.78879,8.10146,-1
679,600,60,1.78847,8.09867,-1
680,600,60,1.78816,8.09587,-1
681,600,60,1.78785,8.09307,-1
682,600,60,1.78754,8.09028,-1
683,600,60,1.78723,8.08748,-1
684,600,60,1.78692,8.08469,-1
685,600,60,1.78661,8.08189,-1
686,600,60,1.7863,8.07909,-1
687,600,60,1.78599,8.0763,-1
688,600,60,1.78568,8.0735,-1
689,600,60,1.78536,8.07071,-1
690,600,60,1.78505,8.06791,-1
691,600,60,1.78474,8.06511,-1
692,600,60,1.78443,8.06232,-1
693,600,60,1.78412,8.05952,-1
694,600,60,1.78381,8.05673,-1
695,600,60,1.7835,8.05393,-1
696,600,60,1.78319,8.05113,-1
697,600,60,1.78288,8.04834,-1
698,600,60,1.78256,8.04554,-1
699,600,60,1.78225,8.04274,-1
700,600,60,1.78194,8.03995,-1
701,600,60,1.78163,8.03715,-1
702,600,60,1.78132,8.03436,-1
703,600,60,1.78101,8.03156,-1
704,600,60,1.7807,8.02876,-1
705,600,60,1.78039,8.02597,-1
706,600,60,1.78008,8.02317,-1
707,600,60,1.77976,8.02038,-1
708,600,60,1.77945,8.01758,-1
709,600,60,1.77914,8.01478,-1
710,600,60,1.77883,8.01199,-1
711,600,60,1.77852,8.00919,-1
712,600,60,1.77821,8.0064,-1
713,600,60,1.7779,8.0036,-1
714,600,60,1.77759,8.0008,-1
715,600,60,1.77728,7.99801,-1
716,600,60,1.77697,7.99521,-1
717,600,60,1.77665,7.99242,-1
718,600,60,1.77634,7.98962,-1
719,600,60,1.77603,7.98682,-1
720,600,60,1.77572,7.98403,-1
721,600,60,1.77541,7.98123,-1
722,600,60,1.7751,7.97844,-1
723,600,60,1.77479,7.97564,-1
724,600,60,1.77448,7.97284,-1
