recordType,id,x,y,isGateway,energy,from,to,edgeType,nextHop,cluster,clusterRadius
node,474,286.563,464.356,0,2,,,,-2,84,-1
node,475,26.1245,270.604,0,2,,,,-2,77,-1
node,476,45.2051,128.5,0,2,,,,-2,86,-1
node,477,166.994,101.949,0,2,,,,-2,91,-1
node,478,91.9956,317.627,0,2,,,,-2,5,-1
node,479,463.326,153.383,0,2,,,,-2,23,-1
node,480,452.208,447,0,2,,,,-2,29,-1
node,481,87.7857,170.763,0,2,,,,-2,114,-1
node,482,151.926,87.9965,0,2,,,,-2,110,-1
node,483,64.0225,194.934,0,2,,,,-2,86,-1
node,484,340.728,134.656,0,2,,,,-2,9,-1
node,485,305.227,310.696,0,2,,,,-2,66,-1
node,486,76.808,174.286,0,2,,,,-2,7,-1
node,487,46.7702,280.176,0,2,,,,-2,5,-1
node,488,314.208,243.729,0,2,,,,-2,108,-1
node,489,494.154,85.4375,0,2,,,,-2,112,-1
node,490,293.103,486.623,0,2,,,,-2,102,-1
node,491,1.47113,176.038,0,2,,,,-2,86,-1
node,492,149.408,30.4443,0,2,,,,-2,0,-1
node,493,245.199,109.719,0,2,,,,-2,28,-1
node,494,388.526,425.393,0,2,,,,-2,18,-1
node,495,294.289,380.748,0,2,,,,-2,107,-1
node,496,86.9402,457.059,0,2,,,,-2,73,-1
node,497,1.59918,104.728,0,2,,,,-2,86,-1
node,498,473.653,476.213,0,2,,,,-2,57,-1
node,499,303.648,258.337,0,2,,,,-2,101,-1
node,500,8.8071,361.814,0,2,,,,-2,85,-1
node,501,492.164,467.025,0,2,,,,-2,8,-1
node,502,419.594,230.2,0,2,,,,-2,2,-1
node,503,276.038,35.8167,0,2,,,,-2,4,-1
node,504,67.7448,106.788,0,2,,,,-2,52,-1
node,505,65.7893,181.548,0,2,,,,-2,15,-1
node,506,170.965,127.767,0,2,,,,-2,74,-1
node,507,453.149,415.917,0,2,,,,-2,109,-1
